Acupressure
	description: The user applies pressure to stress points, sharply boosting one of its or its allies' stats.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: adjacentAllyOrSelf
	crit: 0
	priority: 0
	drain: False
	effects: []
Aggregate
	description: The user consumes any hazards immediately around it to heal its HP by 50%. Fails when no hazards are on the user's side. Z effect: +1 Def, +1 Sp. Def
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Ally Switch
	description: The user teleports using a strange power and switches places with one of its allies.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 2
	drain: False
	effects: []
Aromatherapy
	description: The user releases a soothing scent that heals all status conditions affecting the user's party.
	type: Grass
	category: Status
	power: 0
	accuracy: 101
	target: allyTeam
	crit: 0
	priority: 0
	drain: False
	effects: []
Assist
	description: The user hurriedly and randomly uses a move among those known by ally Pokémon.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Assurance
	description: If the target has already taken some damage in the same turn, this attack's power is doubled.
	type: Dark
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Aurora Veil
	description: This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
	type: Ice
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Avalanche
	description: The power of this attack move is doubled if the user has been hurt by the target in the same turn.
	type: Ice
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: -4
	drain: False
	effects: []
Baku Punch
	description: The target is punched with a strange, dreamlike punch. This move does special damage to the target.
	type: Psychic
	category: Physical
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Baton Pass
	description: The user switches places with a party Pokémon in waiting and passes along any stat changes.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Beak Blast
	description: The user heats up its beak and attacks the target. This may inflict the target with a burn.
	type: Flying
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: [{'name': 'Nonvolatile Status', 'targets_self': False, 'chance': 30, 'details': 'brn', 'description': ''}]
Beat Up
	description: The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.
	type: Dark
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Belch
	description: The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
	type: Poison
	category: Special
	power: 120
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Belly Drum
	description: The user maximizes its Attack stat in exchange for HP equal to half its max HP.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Bestow
	description: The user passes its held item to the target when the target isn't holding an item.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Biddy Bud
	description: The user plants seeds on the opponent to draw in nutrients for a future bloom.
	type: Grass
	category: Special
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Block
	description: The user blocks the target's way with arms spread wide to prevent escape.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bounce
	description: The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.
	type: Flying
	category: Physical
	power: 85
	accuracy: 85
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: [{'name': 'Nonvolatile Status', 'targets_self': False, 'chance': 30, 'details': 'par', 'description': ''}]
Brick Break
	description: The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.
	type: Fighting
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Brine
	description: If the target's HP is half or less, this attack will hit with double the power.
	type: Water
	category: Special
	power: 65
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Camouflage
	description: The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Captivate
	description: If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.
	type: Normal
	category: Status
	power: 0
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: [{'name': 'Boosts', 'targets_self': False, 'chance': 100, 'details': {'spa': -2}, 'description': ''}]
Cat Burglary
	description: The user swiftly and cunningly steals the target's stat boosts, and then attacks. Bypasses substitutes.
	type: Normal
	category: Physical
	power: 80
	accuracy: 100
